"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"19";"Belgium";37.4245105456726;NA;NA;NA;NA;3.83696151932038;5.17935410173224;2.60675427924145;3.57019856184494;2.03271719735545;-1.90264392655961;0.235045799224276;-2.5988602745478;2.57003538832664;-2.38098944734415;-2.57836669557069;-2.62032768016152;-7.12445996096553;-5.39941503991499;-2.43865925023672;-0.333754252021951;-0.313242049389005;2.52353667441814;3.64136494932685;6.53705426379919;11.7857056378457;8.09846677999509;9.97403348947353;10.7492672059477;12.3348196383466
"20";"Belize";NA;NA;NA;NA;NA;NA;NA;-12.3796166193516;NA;NA;-36.0358141657486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"Benin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"Bermuda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-18.3205305138936;-19.4658126866693;-20.599107835068;-18.0413194807387;-14.2823427268301;-14.5369653408958;-13.6061937950028;-17.8026614642578;-15.5971505960032;-14.0679642635625;-1.75250115436162;-4.39291020846232;-8.44657643459733;-10.8385385568941;-7.49175704545312;-6.22102482107661;-12.3522446948633;-10.4383918219043;-3.14933252935055
"23";"Bhutan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-11.779066665613;NA;NA;NA;NA;28.3356006069303;NA;36.5898336293433
"24";"Bolivia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"Bosnia and Herzegovina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.62442133538427;7.23443659004329;12.1564123780334;0.490848003913923;5.20789626450108;4.11591981707339;-4.29313494534609;-2.61588859828729;-0.223746833272502;-1.21374236091096;-4.08476124614243;-4.37196321942529
"26";"Botswana";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;94.2786109044113;NA;213.857103971578;NA;69.8577676068815;NA;NA
"27";"Brazil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-13.6433044707105;NA;NA;NA;NA;-21.3902846314591;NA;NA;NA;NA;NA;NA;NA;-20.376325790932;NA;NA;NA;NA;NA;NA
"28";"British Virgin Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;-14.5634982704862;-16.5391261286501;-17.6605234142375;1.40250186338033;12.2485809796797;-15.6959310733843;-21.6620065628296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"Brunei Darussalam";NA;NA;NA;NA;NA;NA;NA;1.12550644293986;-30.1810303851443;NA;-23.8408768855143;-24.5542015143239;-27.5808145360229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"Bulgaria";NA;NA;NA;NA;NA;-37.1250517334153;-23.7990727036559;-18.9120390356148;-24.1922973236396;-22.1190698983116;-23.7934638542892;-23.9007231204446;-23.7071800325895;-22.117765533149;-20.8226124738415;-14.4123041685661;-12.6871608845199;-11.7218251425061;-16.3557687632196;-25.2724599096532;-15.9405744651713;-3.3191611358073;3.60521953422136;-1.7878630587063;-0.477673220693158;5.72238551529491;9.06641111938871;1.41014147761928;6.81671963262265;NA
"31";"Burkina Faso";NA;NA;NA;NA;NA;NA;-3.10372184335585;1.08440348743982;1.15450944460271;-4.486551026668;0.238192929149852;-3.33693587611811;-5.0350230434843;20.3914244105148;1.05261900723029;-4.28489481180265;-7.74694751320352;-6.98688074724666;-6.18083397717531;-13.4098410529732;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"Burundi";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.90445787704867;-24.4858535472173;-3.5113322906218;-4.47688599829581;13.3088161130941;-1.38111499787784;17.0339704905457;-14.7319582611252;-5.17967747353761;77.7989237100503;NA;-5.20530520932299;NA;8.64357053514291;-34.9183454556655;-14.8925681676437;-16.5302160184342;48.3347900375071;30.356243047951
"33";"Cabo Verde";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19.1335500434853;13.4279658683389;7.85579540704244;5.65039375634922;1.29486659578174;0.232587867032328;-4.58940385473044;-12.4515662442125;NA;-30.4893710259789;-30.1736775519282;NA;-32.535440729037;NA;NA;NA;NA
"34";"Cambodia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.33616295824929;-0.183200696852791;3.81356810731597;-5.89512246234627;NA;NA;NA;NA;NA;NA;NA
"35";"Cameroon";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-18.7091926467497;-11.8978794430759;-44.9380585536784;-48.9408336096169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"Canada";63.4519681132168;NA;NA;NA;NA;113.374230627603;NA;NA;NA;NA;46.7834101872729;NA;NA;NA;NA;NA;NA;33.3570845155409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"Cayman Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";"Central African Republic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";"Chad";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";"Channel Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"41";"Chile";8.67209203505965;NA;NA;NA;NA;-0.272806640578099;NA;NA;NA;NA;0.350883397673558;7.22484025415056;5.92968956809554;6.91503141522754;5.9241880235203;-4.01662126175632;7.80902017838376;7.77337878245956;1.95134308053186;8.57443055905029;7.49096863891301;16.8383487288307;NA;13.4257794103702;29.2129021817822;14.8680581226811;24.8850028591307;4.1654213352018;15.2791186107735;NA
"42";"China";NA;NA;NA;NA;NA;52.1625267131482;NA;NA;NA;NA;43.3531486720585;20.8114774839086;16.3966210525008;8.66347525048327;8.89928275352432;16.4459903520434;14.4774562783633;9.28512131886132;9.99049506755015;13.0200513383082;18.4770125293596;13.441599469804;16.2941821758355;9.03886800743139;2.08921170392257;-1.47850486538235;-1.99535224839637;-4.26559611696865;NA;NA
"43";"Colombia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24.7632148994386;4.76433530738172;20.6386385356107;5.16109141444533;5.23381201489673;-6.75313199856084;12.5530208885916;4.00038302592892;7.047794837184;15.3901619712559;17.4059413072913;-2.49393984701297;-9.41862911969358;-5.99537610292062;-14.5561694518284;NA
"44";"Comoros";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"45";"Congo, Dem. Rep.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"46";"Congo, Rep.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"47";"Costa Rica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-28.1563693655709;NA;NA;NA;NA;NA;NA;NA;-1.39559206020203;-9.6687614319794;-5.92767179758803;-7.62303592095292;-10.8857357698806;-12.1425706422945;25.6127955756638;20.3937848315367;2.81998846845554;12.4637070479706
"48";"Cote d'Ivoire";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"49";"Croatia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16.953945562816;6.87876791971549;-6.14453357209503;-10.3871806782628;-14.6628708256359;-11.7366603045261;-5.47279493550402;-6.68757316502433;-6.9257989205472;-9.98020145785447;-6.7810191925635;-7.0324332281955;-8.76458545254749;-7.12409912265677;-0.429443504470115;-2.54991264023048
"50";"Cuba";NA;NA;NA;NA;NA;NA;NA;NA;NA;7.87748900251771;5.60339052623238;-2.54874833506719;-5.90700512215408;-9.3012940730547;-7.97222704498989;-12.0600081567325;-4.91006769912314;-5.37804014945928;-8.08793319570041;2.53735634867255;1.17122117402826;10.9160579702125;-10.4913125759451;-5.41457037376264;-0.464127819821157;-2.25484844417599;-8.38365975024323;-13.9319190481457;-13.8225241698514;-10.7182667862393
"51";"Curacao";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-15.3682493625789;-10.3908201386124;-15.7827637997262;14.4919373914695;-17.9281957883707;-30.5751795935453;-0.338768527611738;1.59586262815827;NA;NA
"52";"Cyprus";NA;NA;NA;NA;NA;-10.0478204638143;-9.93034698908644;-11.1789385370447;-9.65682202390973;-9.88262511537207;-9.67022103151536;-5.35849670217916;-6.42507793201851;-10.6541661157098;-12.2197094809018;-11.5745861270204;-14.8759533391013;-16.1376619513957;-20.3842230371862;-19.6514638400069;-16.4220370739217;-15.5702996945069;-14.390888740562;-21.8884942463308;-17.0227432865235;-3.367075993154;-5.00952181880752;-3.81898241157664;-7.44059473834932;-8.23820343351228
"53";"Czechia";NA;NA;NA;NA;NA;33.7450874238172;28.1378219456559;24.3005310435054;32.9646311237486;34.8866096138907;17.6008440140242;40.7778740299452;38.2369762115924;35.9867547060919;41.2758157845244;37.043060738122;33.6070576106167;33.2893583375659;32.0387459338179;20.0626101461564;17.9468537415748;23.1973919970435;24.236805295616;26.6259780273528;29.861451996578;32.8197017776384;21.4662220097853;NA;NA;NA
"54";"Denmark";NA;NA;NA;NA;5.90774253317524;10.9132543494408;-14.6125111240616;-4.03253453093654;-0.538591100596573;-2.76992383907407;0.400252044066807;-7.1840600838426;-7.38338283667697;-9.78458973977958;-10.3729592320539;-4.66284299702547;-14.9989353627802;-17.5589544052501;-20.7307926057605;-14.3441279776552;-3.41585520020232;-23.487494297953;-17.8274219962842;-12.3605414950329;-20.7930931442854;-22.2035123878736;-20.5165331617522;-19.7980492423465;-19.7951558772768;-23.496028044157
"55";"Djibouti";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"56";"Dominica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-25.0733750147952;-6.53490953369159;-16.2465299779182;-13.481433571427;-2.04087507199241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
