"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"20";"Belize";NA;NA;NA;NA;NA;NA;NA;-15.5763892053012;NA;NA;-41.3931446073762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"Benin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"Bermuda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-47.8516522052097;-49.14426647135;-50.612061751525;-50.3165176183122;-46.9601517978658;-47.4846365498795;-48.0869391857327;-47.3012402728642;-44.7713678947704;-44.4985075964502;-38.7607081430561;-39.3664534912355;-41.3449015141868;-41.5804611897404;-39.667541643903;-43.6164639773711;-47.5847432116039;-46.3906543888325;-41.7442254010703
"23";"Bhutan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-9.74607009554753;NA;NA;NA;NA;26.9481150087435;NA;39.6813105977763
"24";"Bolivia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"Bosnia and Herzegovina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.84368239520689;5.06534425535092;11.4519781684189;7.03350429613802;6.41510063309624;12.6160101098585;3.05150939383156;7.03963137296406;6.80851896284713;6.47618631668051;3.9400711155829;4.3351016024846
"26";"Botswana";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32.0756784390449;NA;140.049579702283;NA;4.8918859747686;NA;NA
"27";"Brazil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-40.5867259790589;NA;NA;NA;NA;-33.2000526548349;NA;NA;NA;NA;NA;NA;NA;-19.9035631741962;NA;NA;NA;NA;NA;NA
"28";"British Virgin Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;-55.1780473338354;-56.3485021498888;-56.4761463210711;-45.9133438695884;-40.4427310214902;-55.4403796979158;-58.5270776801473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"Brunei Darussalam";NA;NA;NA;NA;NA;NA;NA;64.3260428321802;9.77664935264344;NA;25.2616242448487;23.1373467079058;24.4865375631122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
